區域,類型,店名,營業時間,地址,電話,評價
西區,火鍋盛宴,月團圓雞湯火鍋(台中美術園道店),"11:30–22:00",403台灣台中市西區五權西四街no. 106號,04 2378 6667,4.8
西區,火鍋盛宴,食藝石頭火鍋,"11:30–22:00",403台灣台中市西區民權路215號2樓,0906 397 010,4.8
西區,火鍋盛宴,燒瓶子。大肆の鍋(台中美村店),"11:30–22:00",403台灣台中市西區向上路一段191號,04 2301 2886,5.0
北區,火鍋盛宴,狩鍋,"11:30–22:00",404台灣台中市北區漢口路四段72-1號,04 2297 0006,4.9
北區,火鍋盛宴,初鳴鍋物(北平店),"11:30–22:00",406台灣台中市北屯區北平路三段7號,04 2234 5398,4.8
北區,火鍋盛宴,鍋域,"11:30–22:00",404台灣台中市北區三民路三段117-5號,0972 842 503,4.5
南屯區,火鍋盛宴,熊祭火鍋店,"11:30–22:00",408台灣台中市南屯區黎明路二段24號,04 2380 7787,4.3
南屯區,火鍋盛宴,有火鍋,"11:30–22:00",40868台灣台中市南屯區永春東七路629號2樓,04 2389 4562,4.7
南屯區,火鍋盛宴,夠暖快享鍋 Go warm hotpot,"11:30–22:00",408台灣台中市南屯區忠勇路80-25號,04 2380 8869,4.9
西區,西式精選,West 1993 西館,"11:30–22:00",403台灣台中市西區臺灣大道二段315號,0979 288 093,4.5
西區,西式精選,金士曼餐酒館,"11:30–22:00",403台灣台中市西區華美街422號,04 2326 6002,4.8
西區,西式精選,法森小館,"11:30–22:00",403台灣台中市西區存中街22-1號,04 2372 1339,4.5
北區,西式精選,Polygon Restaurant & Cafe 波櫟,"11:30–22:00",404台灣台中市北區衛道二街2巷11號請勿進社區，從萬客火鍋旁的巷子,04 2236 9793,4.6
北區,西式精選,米拉義式餐廳,"11:30–22:00",404台灣台中市北區學士路248巷24號,04 2233 0318,4.9
北區,西式精選,漫漫拾光 英倫茶館 moments in time,"11:30–22:00",404台灣台中市北區錦平北街13巷2號,04 2208 0180,4.6
南屯區,西式精選,席樂法式料理,"11:30–22:00",40874永春東七路南屯區台中市台灣869號 ",04 2255 5587,4.8
南屯區,西式精選,Luxy Vivid Bistro 餐酒館,"11:30–22:00",408台灣台中市南屯區公益路二段699號,04 2380 8866,4.9
南屯區,西式精選,Brasserie De Rhone 絨,"11:30–22:00",408台灣台中市南屯區大墩十四街237號,04 2320 3160,4.6
西區,創意料理,景 義式創作料理 Osteria Kei,"11:30–22:00",403台灣台中市西區中美街448號,0933 639 359,4.8
西區,創意料理,膳馨民間創作料理(創始店),"11:30–22:00",403台灣台中市西區存中街21號,04 2372 1650,4.8
西區,創意料理,金和越式蔬食創意料理,"11:30–22:00",403台灣台中市西區公正路261號,0920 390 882,4.9
北區,創意料理,宮田白鶴創意蔬食料理,"11:30–22:00",404台灣台中市北區太原路二段259號,04 2233 8168,4.4
北區,創意料理,叁食初私房菜,"11:30–22:00",404台灣台中市北區西屯路一段492巷54弄4號,04 2208 5272,4.5
北區,創意料理,私蓋Sky創意雞肉飯,"11:30–22:00",404台灣台中市北區梅川西路四段183號,04 2299 0206,4.8
南屯區,創意料理,武藏亭創意日本料理,"11:30–22:00",403台灣台中市西區南屯路一段224號,04 2376 8980,4.6
南屯區,創意料理,嶼私廚,"11:30–22:00",407台灣台中市西屯區大墩路1026號,0989 990 133,4.7
南屯區,創意料理,永樂創作料理,"11:30–22:00",408台灣台中市南屯區五權西路二段369號,04 2472 1255,4.6
西區,自助饗宴,台中金典酒店-栢麗廳,"11:30–22:00",403台灣台中市西區健行路1049號,04 2324 6111,3.8
西區,自助饗宴,珍有味精緻自助餐,"11:30–22:00",403台灣台中市西區林森路267號,04 2372 8882,4.0
西區,自助饗宴,國稅局B1自助餐,"11:30–22:00",403台灣台中市西區民生路168號2 樓,04 2223 7329,4.0
北區,自助饗宴,新天地樂食百匯,"11:30–22:00",406台灣台中市北屯区崇德五路345號1樓,04 2247 6222,3.8
北區,自助饗宴,食蘊 SHI YUN,"11:30–22:00",40460台灣台中市北區中清路一段521號3F,04 2298 0080#8331,4.6
北區,自助饗宴,新食譜全日餐廳,"11:30–22:00",400台灣台中市中區建國路111號2F,04 2222 5966,3.8
南屯區,自助饗宴,臺中饗宴館,"11:30–22:00",408台灣台中市南屯區益豐路四段388號,04 2382 3320,3.8
